symbol,investment,profit,roi
AVD,242.43949600000002,-15.997163000000004,-6.60
AVK,281.80999700000007,-9.05999300000001,-3.21
AVLR,0,0,NaN
AVNS,66.440002,26.829997999999996,40.38
AVNT,350.890004,-15.160004999999977,-4.32
AVTR,18.969999,-2.3099990000000012,-12.18
AVY,1453.718752,119.75876099999999,8.24
AVYA,14.77,-1.7300000000000004,-11.71
AWF,237.32250000000005,-9.775000000000006,-4.12
AWI,516.089995,-3.6000069999999766,-0.70
AWK,289.289995,234.550016,81.08
AWP,68.39,-1.2699999999999987,-1.86
AWR,478.409164,36.117505,7.55
AX,142.2825,16.567502,11.64
AXL,348.222501,-13.635005,-3.92
AXO,181.008999,-19.258991999999996,-10.64
AXP,660.086869,72.03350099999999,10.91
AXR,195.35499900000002,43.217501,22.12
AXS,733.7899919999999,-12.919992000000008,-1.76
AXTA,175.57,-10.750001000000001,-6.12
AYI,797.709994,336.779998,42.22
AYX,143.960007,-18.61000899999999,-12.93
AZEK,0,0,NaN
AZO,4962.189987,751.4350800000001,15.14
AZRE,60.055,20.765,34.58
AZUL,51.380001,-5.950002999999999,-11.58
AZZ,558.850324,10.989591999999988,1.97
B,578.3312500000001,2.382089999999998,0.41
BA,3385.965525,250.52449800000002,7.40
BABA,608.44001,120.24997699999997,19.76
BAC,593.771253,12.584993999999998,2.12
BAF,140.17999999999998,-2.7099999999999973,-1.93
BAH,117.029999,52.590001,44.94
BAK,0,0,NaN
BALY,55.039998999999995,-6.439998999999997,-11.70
BAM,232.35403200000002,13.809483000000007,5.94
BAMH,0,0,NaN
BAMI,0,0,NaN
BANC,185.42000000000002,-4.9899990000000045,-2.69
BAP,1017.6351179999999,164.88072699999998,16.20
BAX,803.970698,19.560047999999995,2.43
BB,353.691246,28.102922999999997,7.95
BBAR,202.123675,-2.697577999999993,-1.33
BBD,97.63284999999999,-9.433901000000002,-9.66
BBDC,122.630003,3.2499970000000022,2.65
BBDO,94.42999999999999,-9.91,-10.49
BBF,223.82000000000002,-6.66,-2.98
BBK,148.710001,-1.0800009999999993,-0.73
BBL,604.880007,-54.40000300000003,-8.99
BBN,130.88999900000002,6.230004000000001,4.76
BBU,114.01999599999999,-8.669993000000005,-7.60
BBVA,200.914265,4.400276000000002,2.19
BBW,129.519998,-4.0199970000000045,-3.10
BBY,833.95286,24.891218000000038,2.98
BC,927.8674989999998,13.605005999999989,1.47
BCAT,0,0,NaN
BCC,180.34,11.900001999999994,6.60
BCE,825.484999,21.07749600000001,2.55
BCEI,20.719999,-2.369999,-11.44
BCH,219.88573,20.881665000000005,9.50
BCO,849.3925020000001,51.355008999999995,6.05
BCS,499.819394,-11.123166000000023,-2.23
BCSF,31.475731000000003,-2.169724000000002,-6.89
BCX,43.78,-0.47999999999999865,-1.10
BDC,733.2488919999998,49.05832899999999,6.69
BDJ,105.98999999999998,-5.250000000000005,-4.95
BDN,452.69250000000005,22.10250499999999,4.88
BDX,2079.392518,70.04249400000003,3.37
BDXB,0,0,NaN
BE,31.64,23.650000000000002,74.75
BEDU,0,0,NaN
BEKE,0,0,NaN
BEN,424.92518800000005,41.081757999999994,9.67
BEP,98.18278699999999,36.454913,37.13
BEPC,0,0,NaN
BERY,269.990001,7.559995999999991,2.80
BEST,6.01,-0.6399999999999997,-10.65
BFAM,139.460007,20.139999000000017,14.44
BFK,150.7,7.400000000000006,4.91
BFS,647.3400039999999,-0.37750400000000184,-0.06
BFT,0,0,NaN
BFY,213.49,-4.260000000000009,-2.00
BFZ,182.519999,0.5800010000000064,0.32
BG,865.8600009999998,17.519996999999996,2.02
BGB,88.91,-6.219999999999997,-7.00
BGH,113.20999900000001,-6.219998000000004,-5.49
BGIO,18.07,-0.8349999999999991,-4.62
BGR,247.069999,-13.51,-5.47
BGS,234.44999800000002,18.230001999999992,7.78
BGSF,91.64999999999999,-3.0500000000000007,-3.33
BGT,94.719999,1.7299999999999986,1.83
