symbol,investment,profit,roi
AMRX,203.18000100000003,-5.290001000000005,-2.60
AMT,1540.1250089999999,75.93249199999998,4.93
AMWL,0,0,NaN
AMX,1091.8029210000007,14.325302000000006,1.31
AN,2599.212489000001,-20.552494000000067,-0.79
ANET,3223.6800000000003,122.60999700000002,3.80
ANF,3719.994998000001,0.18372299999996322,0.00
ANH,586.895,-0.30499999999999694,-0.05
ANTM,5428.130021,256.2749820000001,4.72
AOD,1065.2299970000001,-15.919994999999993,-1.49
AON,4399.710022,107.42720400000005,2.44
AONE,0,0,NaN
AOS,1767.2186049999998,31.771951,1.80
AP,2297.8275029999986,17.792502000000006,0.77
APAM,1315.409997,-3.599991999999993,-0.27
APD,5031.301411999999,-8.440624000000014,-0.17
APG,0,0,NaN
APH,1974.5478330000003,24.667030999999966,1.25
